,Spleen_NK_1,Spleen_NK_2,Spleen_NK_3,Spleen_NK_4,Spleen_NK_5,Spleen_ILC1_1,Spleen_ILC1_2,Spleen_ILC1_3
Slc8b1,1701,1465,741,937,1001,1541,1030,1340
Slc9a1,1133,1193,1897,1760,1676,2978,2189,2318
Slc9a2,30,26,14,6,37,19,38,56
Slc9a3,0,0,0,0,0,0,0,0
Slc9a3r1,15427,14846,9906,10700,10387,13699,11686,12771
Slc9a3r2,230,124,143,101,110,84,724,761
Slc9a4,0,0,0,0,0,0,0,0
Slc9a5,13,21,1,4,12,10,2,21
Slc9a6,2141,2114,945,1085,1393,922,829,1161
Slc9a7,5195,5553,3477,3936,3832,479,1420,1832
Slc9a8,3993,3445,2504,2849,2942,4586,3012,3648
Slc9a9,7640,8195,4314,4933,4825,5589,3993,5169
Slc9b1,0,2,2,4,7,3,1,1
Slc9b2,1,4,2,3,5,4,0,3
Slc9c1,0,0,0,0,1,0,0,0
Slco1a1,0,0,0,0,0,2,1,0
Slco1a4,0,5,2,2,16,0,11,1
Slco1a5,0,0,0,0,0,0,0,0
Slco1a6,0,0,0,0,1,0,0,0
Slco1b2,1,3,0,0,6,39,14,11
Slco1c1,0,1,0,0,5,0,0,0
Slco2a1,6,11,10,9,19,26,1,0
Slco2b1,78,30,0,1,1,145,47,16
Slco3a1,1567,1108,682,977,792,463,1146,1149
Slco4a1,396,238,113,199,165,992,772,915
Slco4c1,25,27,5,4,6,223,130,199
Slco5a1,18,45,21,19,32,34,15,25
Slco6b1,0,1,0,0,0,0,0,0
Slco6c1,0,2,0,0,0,0,0,0
Slco6d1,0,4,0,0,0,0,0,0
Slf1,1708,1519,849,877,961,1463,819,1104
Slfn1,308,334,75,67,51,1012,642,705
Slfn10-ps,7014,5269,2623,3299,3283,2186,1462,2062
Slfn14,1,8,0,0,1,824,651,917
Slfn2,26372,18013,9466,9385,8969,14643,10671,11749
Slfn3,155,148,103,107,108,139,110,83
Slfn4,97,117,0,1,2,1793,1136,1185
Slfn5,226,220,155,187,165,966,622,911
Slfn5os,0,0,0,0,0,0,0,0
Slfn8,5899,6103,4069,4308,4580,7896,4473,6090
Slfn9,2230,2229,1178,1513,1570,1390,758,1028
Slfnl1,3,2,0,1,0,0,3,0
Slirp,743,685,320,302,277,386,292,318
Slit1,0,4,0,0,0,12,14,15
Slit2,17,23,3,27,58,0,2,0
Slit3,0,0,0,0,0,1,4,0
Slitrk1,0,4,0,0,0,0,0,0
Slitrk2,0,3,0,10,12,0,0,0
Slitrk3,0,2,0,0,0,0,0,0
Slitrk4,0,4,1,0,10,0,0,0
Slitrk5,0,3,0,3,6,0,0,0
Slitrk6,0,0,0,1,1,0,0,0
Slk,14103,11404,7295,8240,8400,1090,749,764
Slmap,5380,4770,4408,4961,4887,764,3061,3605
Slmapos2,4,8,15,6,1,34,31,19
Sln,0,0,0,0,0,0,0,0
Slpi,367,267,4,1,2,1093,926,958
Sltm,5190,5203,3138,3590,3542,2621,2050,3083
Slu7,12072,9037,4742,4854,4984,5517,3782,4792
Slurp1,2,3,1,2,2,0,0,2
Slurp2,0,0,0,0,0,1,0,0
Slx,0,0,0,0,0,0,0,0
Slx1b,393,373,212,255,220,354,259,332
Slx4,2506,2553,2180,2883,2970,3171,2038,2393
Slx4ip,602,600,316,339,353,463,209,255
Slxl1,0,0,0,0,0,0,0,0
Sly,0,0,0,0,0,0,0,0
Smad1,2988,1953,1492,1660,1695,272,1536,1854
Smad2,6189,5298,2585,2870,2983,2157,1600,2072
Smad3,10245,11292,11399,12246,12442,1459,4225,4950
Smad4,10885,9664,5905,7081,6760,323,231,303
Smad5,2915,2696,1850,1856,2031,1570,1128,1413
Smad6,1,3,1,0,0,2,1,2
Smad7,1307,1703,1624,1902,1965,120,222,275
Smad9,0,3,0,2,2,0,0,0
Smagp,67,43,20,27,18,15,45,38
Smap1,1531,1836,1083,1057,1084,101,285,301
Smap2,6612,5218,4461,4784,4760,1775,3335,4027
Smarca1,3,1,1,4,6,0,1,2
Smarca2,7303,5985,5091,5591,5549,2190,4823,6159
Smarca4,3908,2737,3194,4336,4460,5405,4744,5396
Smarca5,13135,10237,5734,6145,6345,409,1013,1019
Smarca5-ps,151,110,68,90,70,6,6,12
Smarcad1,3369,3157,1819,2158,2343,1737,1595,2002
Smarcal1,1321,1344,758,861,1025,1746,940,1219
Smarcb1,2512,2064,1837,1893,2068,3101,2247,2566
Smarcc1,5141,3839,3054,3230,3000,1396,2494,3455
Smarcc2,10682,8274,7619,9555,9057,8964,6151,7584
Smarcd1,1361,1251,1273,1450,1610,483,950,1296
Smarcd2,12003,10921,6845,7648,7417,439,4447,4379
Smarcd3,773,380,467,303,487,53,174,111
Smarce1,5587,4807,2481,2542,2613,3073,1980,2749
Smarce1-ps1,425,358,174,165,187,249,191,218
Smc1a,8709,7816,4964,5082,5062,8237,5072,7058
Smc1b,3,2,0,1,2,1,1,0
Smc2,2942,2437,1250,1424,1360,3227,1891,2570
Smc2os,3,0,1,3,1,3,0,1
Smc3,10365,7739,4067,4572,4279,4893,3171,4512
Smc4,6254,5406,3625,3614,3494,7601,4404,6161
Smc5,12035,8895,5986,5719,6210,5813,3655,5297
Smc6,9103,8107,4862,5229,4708,3881,2886,3887
Smchd1,12438,11337,8319,8617,8822,2911,4690,6077
Smco1,0,0,0,1,3,0,0,0
Smco2,0,1,0,0,0,0,0,0
Smco3,0,0,0,0,0,0,0,0
Smco4,21,25,15,19,33,50,79,77
Smcp,0,0,0,0,0,0,0,0
Smcr8,1455,1925,1513,1649,1647,1844,1106,1521
Smdt1,2952,2387,1045,1019,946,1624,1202,1412
Smg1,4805,5267,4061,4266,4636,1371,1260,1944
Smg5,3114,2969,2170,2395,2318,2519,1607,1787
Smg6,2821,2864,2608,2798,2595,3890,2759,3406
Smg7,8653,6192,4224,5123,4985,4909,4122,5105
Smg8,1968,2049,1544,1470,1582,1956,1381,1641
Smg9,1716,1209,1017,1132,1067,1429,994,1071
Smgc,0,0,0,0,0,0,0,0
Smim1,7,4,0,3,6,143,110,105
Smim10l1,1031,953,465,516,506,485,945,907
Smim10l2a,7,4,0,5,7,8,6,8
Smim11,1406,1184,498,505,453,623,403,479
Smim12,2314,2037,1017,1103,1007,1446,1191,1394
Smim13,1082,990,525,589,764,124,299,321
Smim14,8776,7497,3680,3849,4030,5212,3479,4333
Smim15,4086,4056,2191,2098,2367,2604,1633,2180
Smim17,2,2,0,0,0,0,1,0
Smim18,5,3,1,5,5,5,3,2
Smim19,1338,1179,762,821,798,83,160,138
Smim20,3033,3554,1431,1620,1528,2109,1532,1750
Smim22,0,0,1,0,0,1,0,0
Smim23,0,0,0,0,0,0,0,0
Smim24,290,345,220,184,229,333,233,276
Smim3,903,795,368,363,292,549,421,401
Smim4,461,517,162,154,183,247,179,201
Smim5,35,36,3,6,5,234,205,173
Smim6,11,23,12,17,19,20,19,12
Smim7,3797,3413,1384,1553,1452,2349,1873,2164
Smim8,751,805,293,243,312,451,313,318
Smim9,0,0,0,0,0,0,0,0
Smkr-ps,12,10,0,2,0,6,0,4
Smlr1,0,2,0,2,1,4,2,0
Smn1,1036,801,455,515,478,770,602,728
Smndc1,2194,2809,1949,2034,2259,2514,1493,2243
Smo,4,11,0,6,10,4,40,35
Smoc1,17,36,6,36,38,31,44,37
Smoc2,49,16,73,13,6,0,7,15
Smok2a,0,5,0,5,7,0,0,0
Smok2b,0,3,0,2,5,0,0,0
Smok3a,0,0,0,0,0,0,0,0
Smok3b,0,0,0,0,0,0,0,0
Smok3c,0,1,0,2,0,0,1,0
Smok4a,0,0,0,0,0,0,0,0
Smox,1113,777,398,603,505,1561,1982,2084
Smpd1,3244,3202,1809,1976,2177,2302,1825,1859
Smpd2,2197,1599,796,861,857,940,619,763
Smpd3,1,7,7,9,0,32,24,20
Smpd4,1597,1475,897,1121,1171,2076,1431,1731
Smpd5,1639,2053,854,946,1012,1256,865,967
Smpdl3a,6169,6053,2740,2479,2797,6034,4238,5118
Smpdl3b,131,126,59,47,45,42,24,33
Smpx,0,0,0,0,0,0,0,0
Smr2,0,0,0,0,4,0,0,0
Smr3a,0,0,0,0,0,0,0,0
Sms,2117,2112,1336,1386,1322,1609,1121,1483
Smt3h1-ps,0,0,0,0,0,0,0,0
Smt3h2-ps,12,18,10,7,2,10,10,8
Smt3h2-ps2,9,13,5,6,7,2,4,1
Smt3h2-ps4,2,7,2,2,2,0,1,0
Smtn,341,268,295,285,257,263,278,283
Smtnl1,0,1,0,0,0,0,0,0
Smtnl2,1,1,0,3,1,10,92,76
Smu1,14481,11697,5314,5262,5434,7735,5361,6494
Smug1,2442,1730,852,1197,1106,990,819,883
Smurf1,3025,2403,1836,2142,2143,127,301,272
Smurf2,1658,1747,1181,1248,1250,403,367,376
Smyd1,3,2,0,0,0,0,0,3
Smyd2,279,182,76,106,77,44,205,192
Smyd3,1923,1457,666,798,867,1017,679,966
Smyd4,1511,1187,788,706,733,984,423,678
Smyd5,819,822,428,574,532,1298,818,1091
Snai1,1,0,0,3,1,16,11,3
Snai2,0,0,0,0,0,3,5,1
Snai3,385,264,259,278,245,1703,1184,1442
Snap23,6496,6028,2664,2779,2956,4481,3141,3504
Snap25,0,3,0,3,4,0,0,0
Snap29,3163,3359,1945,2023,2136,1930,1148,1352
Snap47,2127,2009,957,932,958,1611,1120,1248
Snap91,1,2,0,1,5,0,0,0
Snapc1,2492,1822,888,919,1002,1369,917,1062
Snapc2,1018,972,608,715,780,1225,895,857
Snapc3,3921,2940,1674,1910,2047,1636,1143,1257
Snapc4,1317,1426,993,1300,1120,1975,1063,1473
Snapc5,2820,2191,869,965,954,1144,837,1032
Snapin,8645,6193,2371,2820,3010,3783,2550,3107
Snca,37,95,0,0,3,4795,3765,4224
Sncaip,0,3,1,4,2,0,1,10
Sncb,0,0,0,0,0,0,0,0
Sncg,0,1,0,0,0,0,0,0
Snd1,7728,5073,5179,5593,5135,9757,7306,8228
Sned1,37,35,13,23,10,21,26,21
Snf8,2200,2217,1252,1262,1201,1210,953,1084
Snhg1,516,579,381,334,258,471,353,418
Snhg11,0,2,0,0,2,0,1,0
Snhg12,30,67,14,27,25,37,22,22
Snhg14,118,153,104,76,95,117,72,82
